Target,Simbad Name,RA,DEC,SpType,SpType Letter,SpType Decimal,SpType Decimal Unc,i disk (deg),i disk Unc,Rstar (Rsun),Rstar Unc,Mstar (Msun),Mstar Unc,Prot (d),Prot Unc,vsini (km/s),vsini Unc,Teff (K),Teff Unc,Age (Myr),Age +Unc,Age -Unc,i star (deg),i star +Unc,i star -Unc,disk diff,disk diff +Unc,disk diff -Unc,Veq,Veq Unc,Rdisk (au),Rdisk +Unc,Rdisk -Unc
Sz 114,Sz 114,16 09 01.8343,-39 05 12.835,M5.0,M,5,0.01,21.3,1.3,1.475,0.257597676,0.201035477,0.028814305,2.005,0.029661146,8,ulimit,3279.431168,25.92287225,1.66996833,0.115712484,0.115712484,9.8,3.19019178,4.625003376,12,4.301996174,3.91728263,37.21909189,6.52331351,58,1,1
Sz 73,Sz 73,15 47 56.9231,-35 14 35.187,K8.5,K,8.5,0.01,49.76,3.95,1.4,0.3,0.736752796,0.123766572,1.92,0.053890642,31,3,3953.41707,31.41969776,4.009443254,0.399759335,0.399759335,58.01,22.97838013,10.38000889,1.1,22.02370593,1.1,36.89053353,7.972639401,41.57,0,0
Sz 90,Sz 90,16 07 10.0553,-39 11 03.703,K7.0,K,7,0.01,61.31,5.34,1.058,0.156616997,0.595668788,0.079813395,6.69,0.643297888,8,ulimit,3860.947095,40.64194856,2.018627451,0.485172296,0.485172296,52.28,26.92904202,20.2240477,2.2,22.09578674,2.2,8.0010628,1.412354586,20.31,0,0
T Cha,T Cha,11 57 13.2617,-79 21 31.681,G8.0,G,8,0.01,73,5,2.476050233,0.309292516,1.247142857,0.35046228,3.228829989,0.063181825,37.68314436,1.012701463,5485.264288,119.3995237,4.857932559,0.96734979,0.96734979,76.41,13.5899671,8.7032736,0.7,11.51310422,0.7,38.79738032,4.905426984,46,0,0
TW Hya,TW Hya,11 01 51.8083,-34 42 17.276,M0.5,M,0.5,0.01,6.95,2.85,1.052,0.130716677,0.721947427,0.0268825,3.510239295,0.067502441,4.930903649,0.369434622,3982.120542,32.78490238,6.523885203,0.379634403,0.379634403,19.09,3.504505575,2.734000423,12.5,4.535040984,3.990004107,15.16237193,1.906435533,57,0,0
V1094 Sco,V1094 Sco,16 08 36.1621,-39 23 02.871,K6.0,K,6,0.01,56.3,0.2,1.810626473,0.608853619,0.690969849,0.065747749,3.53,0.12868709,21.36462715,1.057451028,4264.228497,60.84755145,1.194778418,0.269661659,0.269661659,55.62,26.10389662,10.62097777,0.3,18.68094612,0.3,25.95029444,8.77735346,301,1,1
V836 Tau,V836 Tau,05 03 06.6027,25 23 19.303,M1.0,M,1,0.01,43.1,0.8,1.423,0.248516266,0.651294894,0.065827857,6.773045723,0.240256264,11.87712546,0.43727397,3699.343247,38.53918916,1.34800058,0.189025153,0.189025153,90,-2.57E-05,19.06101929,41.3,5.067981039,14.35368041,10.62940664,1.894251284,31.0576,0,0
WSB 52,WSB 52,16 27 39.4216,-24 39 15.971,K5.0,K,5,0.01,54.4,0.3,1.823333333,0.100166528,0.463333333,0.032145503,6.24,0.345728246,17.94823506,0.577092245,3242.279465,19.41672662,0.933374405,0.483337292,0.483337292,90,-1.17E-05,9.201702474,34.6,0.863997095,8.536167053,14.78323944,1.153442298,32,1,1
WSB 63,WSB 63,16 28 54.0689,-24 47 44.729,M1.5,M,1.5,0.01,67.3,0.5,1.878,0.143415649,0.432633558,0.073665478,12.31,1.277745363,10.4,2.1,3598.429357,32.99891647,0.610012361,0.149163303,0.149163303,90,-2.88E-05,22.26521714,2.2,13.23484728,2.2,7.718371252,0.994612694,26.6,3.1,3.1
DE Tau,DE Tau,04 21 55.6488,27 55 05.708,M2.3,M,2.3,0.01,34.1,1,1.623,0.283444764,0.366147453,0.046118071,5.974064838,0.27321229,9.498027934,0.281299592,3685.816726,7.497818627,1,0.848528137,0.848528137,43.76,18.49118566,9.257979482,9.8,15.5274209,9.8,13.74474596,2.481355443,23,1,1
